"","trimestre","instrucao","setor","rendimento_medio_nominal"
"298","2020/4T","Superior completo","Administração pública, defesa e seguridade social ",5390.35
"299","2020/4T","Sem instrução e menos de 1 ano de estudo","Outros Serviços",867.6
"300","2020/4T","Fundamental incompleto ou equivalente","Outros Serviços",998.76
"301","2020/4T","Fundamental completo ou equivalente","Outros Serviços",1129.18
"302","2020/4T","Médio incompleto ou equivalente","Outros Serviços",1036.38
"303","2020/4T","Médio completo ou equivalente","Outros Serviços",1306.57
"304","2020/4T","Superior incompleto ou equivalente","Outros Serviços",1808.89
"305","2020/4T","Superior completo","Outros Serviços",3220.21
"306","2020/4T","Sem instrução e menos de 1 ano de estudo","Atividades mal definidas",955.3
"307","2020/4T","Fundamental incompleto ou equivalente","Atividades mal definidas",2425.45
"308","2020/4T","Fundamental completo ou equivalente","Atividades mal definidas",3796.19
"309","2020/4T","Médio incompleto ou equivalente","Atividades mal definidas",1390.58
"310","2020/4T","Médio completo ou equivalente","Atividades mal definidas",1940.89
"311","2020/4T","Superior incompleto ou equivalente","Atividades mal definidas",3392.5
"312","2020/4T","Superior completo","Atividades mal definidas",2238.07
"313","2021/1T","Sem instrução e menos de 1 ano de estudo","Agricultura, pecuária, produção florestal, pesca e aquicultura",800.84
"314","2021/1T","Fundamental incompleto ou equivalente","Agricultura, pecuária, produção florestal, pesca e aquicultura",1238.47
"315","2021/1T","Fundamental completo ou equivalente","Agricultura, pecuária, produção florestal, pesca e aquicultura",1571.74
